oppivelvollisille tarkoitettu perusopetus,1/011/2004
Liikenne-esimiehen erikoisammattitutkinto,12/011/2009
Keruutuotetarkastajan erikoisammattitutkinto 1.8.1995,121/011/1995
Rytmimusiikkituotannon ammattitutkinto ,13/011/2009
Valmentajan ammattitutkinto ,15/011/2006
Lentoasemapalvelujen ammattitutkinto ,16/011/2009
Pienkonemekaanikon ammattitutkinto ,19/011/2004
aikuisten perusopetus (ml. Alkuvaihe),19/011/2015
perusopetukseen valmistava opetus,2/011/2004
Raskaskalustomekaanikon ammattitutkinto,21/011/2008
Nahanvalmistajan ammattitutkinto,22/011/1998
Sahamestarin erikoisammattitutkinto ,25/011/2008
lisäopetus,3/011/2004
Valmentajan erikoisammattitutkinto ,3/011/2015
Autokorimekaanikon ammattitutkinto ,31/011/2015
Autokorimestarin erikoisammattitutkinto  ,32/011/2015
lukiokoulutus (nuorille tarkoitettu opetussuunnitelma),33/011/2003
Automaalarin ammattitutkinto ,33/011/2015
Kultaajamestarin erikoisammattitutkinto ,34/011/2008
Automaalarimestarin erikoisammattitutkinto,34/011/2015
Kultaajakisällin ammattitutkinto ,35/011/2008
Kultaajakisällin ammattitutkinto ,35/011/2015
Valmentajan ammattitutkinto ,36/011/2014
Kultaajamestarin erikoisammattitutkinto ,36/011/2015
Rengasalan ammattitutkinto ,37/011/2012
Automekaanikon erikoisammattitutkinto ,38/011/2001
Autoalan myyjän erikoisammattitutkinto ,39/011/2001
aikuisten perusopetus ja lukiokoulutus,4/011/2004
Faktorin erikoisammattitutkinto ,41/011/2006
Painajamestarin/rotaatiomestarin erikoisammattitutkinto,46/011/2004
Henkilöautomekaanikon ammattitutkinto ,48/011/2006
Jälkikäsittelykoneenhoitajan ammattitutkinto,48/011/2009
ammatilliseen peruskoulutukseen valmentava koulutus,5/011/2015
Valmentajan erikoisammattitutkinto ,50/011/2006
Autokorimekaanikon ammattitutkinto ,52/011/2002
Autokorimestarin erikoisammattitutkinto ,53/011/2002
Automaalarimestarin erikoisammattitutkinto ,54/011/2002
Automaalarin ammattitutkinto ,55/011/2002
lukiokoulutukseen valmistava koulutus,56/011/2015
työhön ja itsenäiseen elämään valmentava koulutus,6/011/2015
Varaosamyyjän ammattitutkinto ,65/011/2002
Automyyjän ammattitutkinto ,66/011/2002
aikuisten lukiokoulutus,70/011/2015
Isännöinnin ammattitutkinto ,8/011/2009